waktu,komentar,cleaning,case_folding,normalisasi,tokenize,stopword removal,steming_data
sebulan lalu,Lumayan untuk anak_ .,Lumayan untuk anak ,lumayan untuk anak ,lumayan untuk anak,"['lumayan', 'untuk', 'anak']","['lumayan', 'anak']",lumayan anak
sebulan lalu,Pusat Hiburan warga wonosobo,Pusat Hiburan warga wonosobo,pusat hiburan warga wonosobo,pusat hiburan warga wonosobo,"['pusat', 'hiburan', 'warga', 'wonosobo']","['pusat', 'hiburan', 'warga', 'wonosobo']",pusat hibur warga wonosobo
sebulan lalu,"Aneka kuliner khas wonosobo banyak tersedia disini,tertata dan bersih",Aneka kuliner khas wonosobo banyak tersedia disinitertata dan bersih,aneka kuliner khas wonosobo banyak tersedia disinitertata dan bersih,aneka kuliner khas wonosobo banyak tersedia disinitertata dan bersih,"['aneka', 'kuliner', 'khas', 'wonosobo', 'banyak', 'tersedia', 'disinitertata', 'dan', 'bersih']","['aneka', 'kuliner', 'khas', 'wonosobo', 'tersedia', 'disinitertata', 'bersih']",aneka kuliner khas wonosobo sedia disinitertata bersih
sebulan lalu,Banyak makanan dan mainan,Banyak makanan dan mainan,banyak makanan dan mainan,banyak makanan dan mainan,"['banyak', 'makanan', 'dan', 'mainan']","['makanan', 'mainan']",makan main
sebulan lalu,"Tempat bersantai dan bergembira, berbagai event dan kegiatan masyarakat digelar dengan penuh sukacita.",Tempat bersantai dan bergembira berbagai event dan kegiatan masyarakat digelar dengan penuh sukacita,tempat bersantai dan bergembira berbagai event dan kegiatan masyarakat digelar dengan penuh sukacita,tempat bersantai dan bergembira berbagai acara dan kegiatan masyarakat digelar dengan penuh sukacita,"['tempat', 'bersantai', 'dan', 'bergembira', 'berbagai', 'acara', 'dan', 'kegiatan', 'masyarakat', 'digelar', 'dengan', 'penuh', 'sukacita']","['bersantai', 'bergembira', 'acara', 'kegiatan', 'masyarakat', 'digelar', 'penuh', 'sukacita']",santa gembira acara giat masyarakat gelar penuh sukacita
sebulan lalu,Suasana yang sejuk ngangenin,Suasana yang sejuk ngangenin,suasana yang sejuk ngangenin,suasana yang sejuk ngangenin,"['suasana', 'yang', 'sejuk', 'ngangenin']","['suasana', 'sejuk', 'ngangenin']",suasana sejuk ngangenin
2 bulan lalu,alun alun tengah kota yang cocok untuk olahraga ya disini,alun alun tengah kota yang cocok untuk olahraga ya disini,alun alun tengah kota yang cocok untuk olahraga ya disini,alun alun tengah kota yang cocok untuk olahraga ya disini,"['alun', 'alun', 'tengah', 'kota', 'yang', 'cocok', 'untuk', 'olahraga', 'ya', 'disini']","['alun', 'alun', 'kota', 'cocok', 'olahraga', 'ya']",alun alun kota cocok olahraga ya
2 bulan lalu,Pemandangan Gn. Sindoro dan Gn. Sumbing dari alun alun,Pemandangan Gn Sindoro dan Gn Sumbing dari alun alun,pemandangan gn sindoro dan gn sumbing dari alun alun,pemandangan begini sindoro dan begini sumbing dari alun alun,"['pemandangan', 'begini', 'sindoro', 'dan', 'begini', 'sumbing', 'dari', 'alun', 'alun']","['pemandangan', 'sindoro', 'sumbing', 'alun', 'alun']",pandang sindoro sumbing alun alun
2 bulan lalu,nyaman bersih dan indah,nyaman bersih dan indah,nyaman bersih dan indah,nyaman bersih dan indah,"['nyaman', 'bersih', 'dan', 'indah']","['nyaman', 'bersih', 'indah']",nyaman bersih indah
2 bulan lalu,"Tempatnya aman, asri, sejuk",Tempatnya aman asri sejuk,tempatnya aman asri sejuk,tempatnya aman asri sejuk,"['tempatnya', 'aman', 'asri', 'sejuk']","['tempatnya', 'aman', 'asri', 'sejuk']",tempat aman asri sejuk
2 bulan lalu,Mantap dinginnya,Mantap dinginnya,mantap dinginnya,mantap dinginnya,"['mantap', 'dinginnya']","['mantap', 'dinginnya']",mantap dingin
2 bulan lalu,ramai bersih,ramai bersih,ramai bersih,ramai bersih,"['ramai', 'bersih']","['ramai', 'bersih']",ramai bersih
2 bulan lalu,alun alun yang ditata dengan baik. Kotanya nyaman.,alun alun yang ditata dengan baik Kotanya nyaman,alun alun yang ditata dengan baik kotanya nyaman,alun alun yang ditata dengan baik kotanya nyaman,"['alun', 'alun', 'yang', 'ditata', 'dengan', 'baik', 'kotanya', 'nyaman']","['alun', 'alun', 'ditata', 'kotanya', 'nyaman']",alun alun tata kota nyaman
2 bulan lalu,"Recommended buat jalan² pagi, karena kalo siangan dikit sudah ramai banyak pedagang,tapi senang sih karena makanannya enak² ,suasana pagi syahdu  bisa liat gunung Sumbing dan Sindoro",Recommended buat jalan pagi karena kalo siangan dikit sudah ramai banyak pedagangtapi senang sih karena makanannya enak suasana pagi syahdu  bisa liat gunung Sumbing dan Sindoro,recommended buat jalan pagi karena kalo siangan dikit sudah ramai banyak pedagangtapi senang sih karena makanannya enak suasana pagi syahdu  bisa liat gunung sumbing dan sindoro,recommended buat jalan pagi karena kalau siangan dikit sudah ramai banyak pedagangtapi senang sih karena makanannya enak suasana pagi syahdu bisa lihat gunung sumbing dan sindoro,"['recommended', 'buat', 'jalan', 'pagi', 'karena', 'kalau', 'siangan', 'dikit', 'sudah', 'ramai', 'banyak', 'pedagangtapi', 'senang', 'sih', 'karena', 'makanannya', 'enak', 'suasana', 'pagi', 'syahdu', 'bisa', 'lihat', 'gunung', 'sumbing', 'dan', 'sindoro']","['recommended', 'jalan', 'pagi', 'siangan', 'dikit', 'ramai', 'pedagangtapi', 'senang', 'sih', 'makanannya', 'enak', 'suasana', 'pagi', 'syahdu', 'lihat', 'gunung', 'sumbing', 'sindoro']",recommended jalan pagi siang dikit ramai pedagangtapi senang sih makan enak suasana pagi syahdu lihat gunung sumbing sindoro
2 bulan lalu,Tempat penuh kenangan,Tempat penuh kenangan,tempat penuh kenangan,tempat penuh kenangan,"['tempat', 'penuh', 'kenangan']","['penuh', 'kenangan']",penuh kenang
2 bulan lalu,Saya duka,Saya duka,saya duka,saya duka,"['saya', 'duka']",['duka'],duka
2 bulan lalu,"Alun alun Wonosobo memang
Betul betul ASRI Damai Dan Sejahtera","Alun alun Wonosobo memang
Betul betul ASRI Damai Dan Sejahtera","alun alun wonosobo memang
betul betul asri damai dan sejahtera",alun alun wonosobo memang betul betul asri damai dan sejahtera,"['alun', 'alun', 'wonosobo', 'memang', 'betul', 'betul', 'asri', 'damai', 'dan', 'sejahtera']","['alun', 'alun', 'wonosobo', 'asri', 'damai', 'sejahtera']",alun alun wonosobo asri damai sejahtera
2 bulan lalu,Cukup bersih. Enak buat nongkrong dan bawa keluarga. Banyak tempat bermain untuk anak anak. Ada tempat sewa mobil mobilan dan motor listrik,Cukup bersih Enak buat nongkrong dan bawa keluarga Banyak tempat bermain untuk anak anak Ada tempat sewa mobil mobilan dan motor listrik,cukup bersih enak buat nongkrong dan bawa keluarga banyak tempat bermain untuk anak anak ada tempat sewa mobil mobilan dan motor listrik,cukup bersih enak buat nongkrong dan bawa keluarga banyak tempat bermain untuk anak anak ada tempat sewa mobil mobilan dan motor listrik,"['cukup', 'bersih', 'enak', 'buat', 'nongkrong', 'dan', 'bawa', 'keluarga', 'banyak', 'tempat', 'bermain', 'untuk', 'anak', 'anak', 'ada', 'tempat', 'sewa', 'mobil', 'mobilan', 'dan', 'motor', 'listrik']","['bersih', 'enak', 'nongkrong', 'bawa', 'keluarga', 'bermain', 'anak', 'anak', 'sewa', 'mobil', 'mobilan', 'motor', 'listrik']",bersih enak nongkrong bawa keluarga main anak anak sewa mobil mobil motor listrik
2 bulan lalu,"Ke dua kali nya sampai sini, tempatnya adem",Ke dua kali nya sampai sini tempatnya adem,ke dua kali nya sampai sini tempatnya adem,ke dua mungkin ya sampai sini tempatnya adem,"['ke', 'dua', 'mungkin', 'ya', 'sampai', 'sini', 'tempatnya', 'adem']","['ya', 'tempatnya', 'adem']",ya tempat adem
2 bulan lalu,Bagus luas di tengah-tengah kota Wonosobo yang sejuk,Bagus luas di tengahtengah kota Wonosobo yang sejuk,bagus luas di tengahtengah kota wonosobo yang sejuk,bagus luas di tengahtengah kota wonosobo yang sejuk,"['bagus', 'luas', 'di', 'tengahtengah', 'kota', 'wonosobo', 'yang', 'sejuk']","['bagus', 'luas', 'tengahtengah', 'kota', 'wonosobo', 'sejuk']",bagus luas tengahtengah kota wonosobo sejuk
2 bulan lalu,Saat Jay Idzes berkunjung ke Wonosobo.. Dingin sekali..,Saat Jay Idzes berkunjung ke Wonosobo Dingin sekali,saat jay idzes berkunjung ke wonosobo dingin sekali,saat jay idzes berkunjung ke wonosobo dingin sekali,"['saat', 'jay', 'idzes', 'berkunjung', 'ke', 'wonosobo', 'dingin', 'sekali']","['jay', 'idzes', 'berkunjung', 'wonosobo', 'dingin']",jay idzes kunjung wonosobo dingin
