waktu,komentar,cleaning,case_folding,normalisasi,tokenize,stopword removal,steming_data
11 bulan lalu,Sering banget ke alun alun wonosobo hanya sekedar iseng padahal dari ungaran😁 …,Sering banget ke alun alun wonosobo hanya sekedar iseng padahal dari ungaran ,sering banget ke alun alun wonosobo hanya sekedar iseng padahal dari ungaran ,sering banget ke alun alun wonosobo hanya sekedar iseng padahal dari ungaran,"['sering', 'banget', 'ke', 'alun', 'alun', 'wonosobo', 'hanya', 'sekedar', 'iseng', 'padahal', 'dari', 'ungaran']","['banget', 'alun', 'alun', 'wonosobo', 'sekedar', 'iseng', 'ungaran']",banget alun alun wonosobo dar iseng ungar
11 bulan lalu,ramai kalo minggu,ramai kalo minggu,ramai kalo minggu,ramai kalau minggu,"['ramai', 'kalau', 'minggu']","['ramai', 'minggu']",ramai minggu
11 bulan lalu,"Akun-akun merupakan pusat kegiatan orang Wonosobo. Letaknya didepan Pendopo Kabupaten. Bagian kanan dan kiri ada bangunan Paseban, pada jaman dulu. Digunakan sebagai ruang tunggu. Jika ada warga yang mau menghadap Bupati.",Akunakun merupakan pusat kegiatan orang Wonosobo Letaknya didepan Pendopo Kabupaten Bagian kanan dan kiri ada bangunan Paseban pada jaman dulu Digunakan sebagai ruang tunggu Jika ada warga yang mau menghadap Bupati,akunakun merupakan pusat kegiatan orang wonosobo letaknya didepan pendopo kabupaten bagian kanan dan kiri ada bangunan paseban pada jaman dulu digunakan sebagai ruang tunggu jika ada warga yang mau menghadap bupati,akunakun merupakan pusat kegiatan orang wonosobo letaknya didepan pendopo kabupaten bagian kanan dan kiri ada bangunan paseban pada jaman dulu digunakan sebagai ruang tunggu jika ada warga yang mau menghadap bupati,"['akunakun', 'merupakan', 'pusat', 'kegiatan', 'orang', 'wonosobo', 'letaknya', 'didepan', 'pendopo', 'kabupaten', 'bagian', 'kanan', 'dan', 'kiri', 'ada', 'bangunan', 'paseban', 'pada', 'jaman', 'dulu', 'digunakan', 'sebagai', 'ruang', 'tunggu', 'jika', 'ada', 'warga', 'yang', 'mau', 'menghadap', 'bupati']","['akunakun', 'pusat', 'kegiatan', 'orang', 'wonosobo', 'letaknya', 'didepan', 'pendopo', 'kabupaten', 'kanan', 'kiri', 'bangunan', 'paseban', 'jaman', 'ruang', 'tunggu', 'warga', 'menghadap', 'bupati']",akunakun pusat giat orang wonosobo letak depan pendopo kabupaten kanan kiri bangun paseban jaman ruang tunggu warga hadap bupati
11 bulan lalu,"Luas, bersih asri",Luas bersih asri,luas bersih asri,luas bersih asri,"['luas', 'bersih', 'asri']","['luas', 'bersih', 'asri']",luas bersih asri
11 bulan lalu,Alun-alun wonosobo tempat nya sejuta kenangan,Alunalun wonosobo tempat nya sejuta kenangan,alunalun wonosobo tempat nya sejuta kenangan,wonosobo tempat ya sejuta kenangan,"['wonosobo', 'tempat', 'ya', 'sejuta', 'kenangan']","['wonosobo', 'ya', 'sejuta', 'kenangan']",wonosobo ya juta kenang
11 bulan lalu,Kabupaten dengan view & pariwisata luar biasa,Kabupaten dengan view  pariwisata luar biasa,kabupaten dengan view  pariwisata luar biasa,kabupaten dengan view pariwisata luar biasa,"['kabupaten', 'dengan', 'view', 'pariwisata', 'luar', 'biasa']","['kabupaten', 'view', 'pariwisata']",kabupaten view pariwisata
11 bulan lalu,Tempatnya bersih dan teratur,Tempatnya bersih dan teratur,tempatnya bersih dan teratur,tempatnya bersih dan teratur,"['tempatnya', 'bersih', 'dan', 'teratur']","['tempatnya', 'bersih', 'teratur']",tempat bersih atur
11 bulan lalu,nyaman buat santai,nyaman buat santai,nyaman buat santai,nyaman buat santai,"['nyaman', 'buat', 'santai']","['nyaman', 'santai']",nyaman santai
11 bulan lalu,"Barusan listrik padam, ya sampai menyala langsung otewe pulang",Barusan listrik padam ya sampai menyala langsung otewe pulang,barusan listrik padam ya sampai menyala langsung otewe pulang,barusan listrik padam ya sampai menyala langsung otewe pulang,"['barusan', 'listrik', 'padam', 'ya', 'sampai', 'menyala', 'langsung', 'otewe', 'pulang']","['barusan', 'listrik', 'padam', 'ya', 'menyala', 'langsung', 'otewe', 'pulang']",barusan listrik padam ya nyala langsung otewe pulang
11 bulan lalu,"Ok, cuma kurang banyak wahana permainannya",Ok cuma kurang banyak wahana permainannya,ok cuma kurang banyak wahana permainannya,ok cuma kurang banyak wahana permainannya,"['ok', 'cuma', 'kurang', 'banyak', 'wahana', 'permainannya']","['ok', 'wahana', 'permainannya']",ok wahana main
11 bulan lalu,Semoga bermanfaat,Semoga bermanfaat,semoga bermanfaat,semoga bermanfaat,"['semoga', 'bermanfaat']","['semoga', 'bermanfaat']",moga manfaat
11 bulan lalu,Buat olahraga sangat nyaman,Buat olahraga sangat nyaman,buat olahraga sangat nyaman,buat olahraga sangat nyaman,"['buat', 'olahraga', 'sangat', 'nyaman']","['olahraga', 'nyaman']",olahraga nyaman
11 bulan lalu,"Sejuk, nyaman di kunjungi",Sejuk nyaman di kunjungi,sejuk nyaman di kunjungi,sejuk nyaman di kunjungi,"['sejuk', 'nyaman', 'di', 'kunjungi']","['sejuk', 'nyaman', 'kunjungi']",sejuk nyaman kunjung
11 bulan lalu,Suasana yang selalu dirindukan pokoknya. Tempat bersih dan tertata rapi. Ramah semua😍 …,Suasana yang selalu dirindukan pokoknya Tempat bersih dan tertata rapi Ramah semua ,suasana yang selalu dirindukan pokoknya tempat bersih dan tertata rapi ramah semua ,suasana yang selalu dirindukan pokoknya tempat bersih dan tertata rapi ramah semua,"['suasana', 'yang', 'selalu', 'dirindukan', 'pokoknya', 'tempat', 'bersih', 'dan', 'tertata', 'rapi', 'ramah', 'semua']","['suasana', 'dirindukan', 'pokoknya', 'bersih', 'tertata', 'rapi', 'ramah']",suasana rindu pokok bersih tata rapi ramah
11 bulan lalu,Tempat untuk olahraga & cuci mata,Tempat untuk olahraga  cuci mata,tempat untuk olahraga  cuci mata,tempat untuk olahraga cuci mata,"['tempat', 'untuk', 'olahraga', 'cuci', 'mata']","['olahraga', 'cuci', 'mata']",olahraga cuci mata
11 bulan lalu,"Cocok buat jogging, main dengan anak, rindang, dekat dengan lokasi jajanan, dekat dengan masjid agung",Cocok buat jogging main dengan anak rindang dekat dengan lokasi jajanan dekat dengan masjid agung,cocok buat jogging main dengan anak rindang dekat dengan lokasi jajanan dekat dengan masjid agung,cocok buat jogging main dengan anak rindang dekat dengan lokasi jajanan dekat dengan masjid agung,"['cocok', 'buat', 'jogging', 'main', 'dengan', 'anak', 'rindang', 'dekat', 'dengan', 'lokasi', 'jajanan', 'dekat', 'dengan', 'masjid', 'agung']","['cocok', 'jogging', 'main', 'anak', 'rindang', 'lokasi', 'jajanan', 'masjid', 'agung']",cocok jogging main anak rindang lokasi jajan masjid agung
11 bulan lalu,tempat yang bagus,tempat yang bagus,tempat yang bagus,tempat yang bagus,"['tempat', 'yang', 'bagus']",['bagus'],bagus
11 bulan lalu,Perjalanan yang menyenangkan,Perjalanan yang menyenangkan,perjalanan yang menyenangkan,perjalanan yang menyenangkan,"['perjalanan', 'yang', 'menyenangkan']","['perjalanan', 'menyenangkan']",jalan senang
11 bulan lalu,Beautiful ❤️❤️❤️❤️❤️,Beautiful ,beautiful ,beautiful,['beautiful'],['beautiful'],beautiful
setahun lalu,"alun alun tidak terlalu besar, tempatnya rindang , sejuk, banyak yang jual makanan di sekitarnya.",alun alun tidak terlalu besar tempatnya rindang  sejuk banyak yang jual makanan di sekitarnya,alun alun tidak terlalu besar tempatnya rindang  sejuk banyak yang jual makanan di sekitarnya,alun alun tidak terlalu besar tempatnya rindang sejuk banyak yang jual makanan di sekitarnya,"['alun', 'alun', 'tidak', 'terlalu', 'besar', 'tempatnya', 'rindang', 'sejuk', 'banyak', 'yang', 'jual', 'makanan', 'di', 'sekitarnya']","['alun', 'alun', 'tempatnya', 'rindang', 'sejuk', 'jual', 'makanan']",alun alun tempat rindang sejuk jual makan
setahun lalu,Asri 👍 …,Asri  ,asri  ,asri,['asri'],['asri'],asri
setahun lalu,Adem poll bikin ngantuk...😁😁 …,Adem poll bikin ngantuk ,adem poll bikin ngantuk ,adem poll bikin ngantuk,"['adem', 'poll', 'bikin', 'ngantuk']","['adem', 'poll', 'bikin', 'ngantuk']",adem poll bikin ngantuk
setahun lalu,"Gak heran pernah baca di salah satu artikel kalau ini salah satu alun alun terbaik. Jujur amaze, penataan alun-alunnya cantik. Setiap sudut tuh ada hal yang menarik. Terus ada open space buat main voli, bola, dan dua pendopo lagi. mantap!",Gak heran pernah baca di salah satu artikel kalau ini salah satu alun alun terbaik Jujur amaze penataan alunalunnya cantik Setiap sudut tuh ada hal yang menarik Terus ada open space buat main voli bola dan dua pendopo lagi mantap,gak heran pernah baca di salah satu artikel kalau ini salah satu alun alun terbaik jujur amaze penataan alunalunnya cantik setiap sudut tuh ada hal yang menarik terus ada open space buat main voli bola dan dua pendopo lagi mantap,tidak heran pernah baca di salah satu artikel kalau ini salah satu alun alun terbaik jujur amaze penataan alunalunnya cantik setiap sudut tuh ada hal yang menarik terus ada open space buat main voli bola dan dua pendopo lagi mantap,"['tidak', 'heran', 'pernah', 'baca', 'di', 'salah', 'satu', 'artikel', 'kalau', 'ini', 'salah', 'satu', 'alun', 'alun', 'terbaik', 'jujur', 'amaze', 'penataan', 'alunalunnya', 'cantik', 'setiap', 'sudut', 'tuh', 'ada', 'hal', 'yang', 'menarik', 'terus', 'ada', 'open', 'space', 'buat', 'main', 'voli', 'bola', 'dan', 'dua', 'pendopo', 'lagi', 'mantap']","['heran', 'baca', 'salah', 'artikel', 'salah', 'alun', 'alun', 'terbaik', 'jujur', 'amaze', 'penataan', 'alunalunnya', 'cantik', 'sudut', 'tuh', 'menarik', 'open', 'space', 'main', 'voli', 'bola', 'pendopo', 'mantap']",heran baca salah artikel salah alun alun baik jujur amaze tata alunalunnya cantik sudut tuh tarik open space main voli bola pendopo mantap
setahun lalu,"Besar lapangannya dan hijau, bagus kalau buat acara2",Besar lapangannya dan hijau bagus kalau buat acara,besar lapangannya dan hijau bagus kalau buat acara,besar lapangannya dan hijau bagus kalau buat acara,"['besar', 'lapangannya', 'dan', 'hijau', 'bagus', 'kalau', 'buat', 'acara']","['lapangannya', 'hijau', 'bagus', 'acara']",lapang hijau bagus acara
setahun lalu,"Ada jogging track, taman bermain anak, dan berbagai tempat duduk yang nyaman. Cocok banget buat piknik, berolahraga, atau sekadar nongkrong bareng teman.",Ada jogging track taman bermain anak dan berbagai tempat duduk yang nyaman Cocok banget buat piknik berolahraga atau sekadar nongkrong bareng teman,ada jogging track taman bermain anak dan berbagai tempat duduk yang nyaman cocok banget buat piknik berolahraga atau sekadar nongkrong bareng teman,ada jogging track taman bermain anak dan berbagai tempat duduk yang nyaman cocok banget buat piknik berolahraga atau sekadar nongkrong bareng teman,"['ada', 'jogging', 'track', 'taman', 'bermain', 'anak', 'dan', 'berbagai', 'tempat', 'duduk', 'yang', 'nyaman', 'cocok', 'banget', 'buat', 'piknik', 'berolahraga', 'atau', 'sekadar', 'nongkrong', 'bareng', 'teman']","['jogging', 'track', 'taman', 'bermain', 'anak', 'duduk', 'nyaman', 'cocok', 'banget', 'piknik', 'berolahraga', 'nongkrong', 'bareng', 'teman']",jogging track taman main anak duduk nyaman cocok banget piknik olahraga nongkrong bareng teman
setahun lalu,"Bagus, tanahnya luas",Bagus tanahnya luas,bagus tanahnya luas,bagus tanahnya luas,"['bagus', 'tanahnya', 'luas']","['bagus', 'tanahnya', 'luas']",bagus tanah luas
setahun lalu,"Tempatnya nyaman dan wangi,pelayanan oke,dokternya juga ramah 😍💕 …",Tempatnya nyaman dan wangipelayanan okedokternya juga ramah  ,tempatnya nyaman dan wangipelayanan okedokternya juga ramah  ,tempatnya nyaman dan wangipelayanan okedokternya juga ramah,"['tempatnya', 'nyaman', 'dan', 'wangipelayanan', 'okedokternya', 'juga', 'ramah']","['tempatnya', 'nyaman', 'wangipelayanan', 'okedokternya', 'ramah']",tempat nyaman wangipelayanan okedokternya ramah
setahun lalu,"Kesini gara-gara ada acara balon udara terakhir di Alun alun Wonosobo pada hari Minggu, 21 April 2024 . …",Kesini garagara ada acara balon udara terakhir di Alun alun Wonosobo pada hari Minggu  April   ,kesini garagara ada acara balon udara terakhir di alun alun wonosobo pada hari minggu  april   ,kesini garagara ada acara balon udara terakhir di alun alun wonosobo pada hari minggu april,"['kesini', 'garagara', 'ada', 'acara', 'balon', 'udara', 'terakhir', 'di', 'alun', 'alun', 'wonosobo', 'pada', 'hari', 'minggu', 'april']","['kesini', 'garagara', 'acara', 'balon', 'udara', 'alun', 'alun', 'wonosobo', 'minggu', 'april']",kesini garagara acara balon udara alun alun wonosobo minggu april
setahun lalu,Adem wilayahnya,Adem wilayahnya,adem wilayahnya,adem wilayahnya,"['adem', 'wilayahnya']","['adem', 'wilayahnya']",adem wilayah
setahun lalu,dijamin keren kalau malam...kemerlap lampu menambah suasana jadi tambah romantis... Wonosobo makin dingin ..,dijamin keren kalau malamkemerlap lampu menambah suasana jadi tambah romantis Wonosobo makin dingin ,dijamin keren kalau malamkemerlap lampu menambah suasana jadi tambah romantis wonosobo makin dingin ,dijamin keren kalau malamkemerlap lampu menambah suasana jadi tambah romantis wonosobo makin dingin,"['dijamin', 'keren', 'kalau', 'malamkemerlap', 'lampu', 'menambah', 'suasana', 'jadi', 'tambah', 'romantis', 'wonosobo', 'makin', 'dingin']","['dijamin', 'keren', 'malamkemerlap', 'lampu', 'menambah', 'suasana', 'romantis', 'wonosobo', 'dingin']",jamin keren malamkemerlap lampu tambah suasana romantis wonosobo dingin
setahun lalu,Ciri khas kota dingin Wonosobo,Ciri khas kota dingin Wonosobo,ciri khas kota dingin wonosobo,ciri khas kota dingin wonosobo,"['ciri', 'khas', 'kota', 'dingin', 'wonosobo']","['ciri', 'khas', 'kota', 'dingin', 'wonosobo']",ciri khas kota dingin wonosobo
setahun lalu,Aman sehat rapi indah wonosobo 👍 …,Aman sehat rapi indah wonosobo  ,aman sehat rapi indah wonosobo  ,aman sehat rapi indah wonosobo,"['aman', 'sehat', 'rapi', 'indah', 'wonosobo']","['aman', 'sehat', 'rapi', 'indah', 'wonosobo']",aman sehat rapi indah wonosobo
setahun lalu,"Tempat kami menunggu bus tuyul ke arah dieng. Nunggu dari jam 05.10, sekitar jam 05.40 kami baru naik bus. Terima kasih untuk bapak yang jualan di halte bus alun² yang sudah memberi info & membantu kami mencegat bus nya. Semoga Allah melancarkan rezeki bpk...Aamiin YRA🤲 …",Tempat kami menunggu bus tuyul ke arah dieng Nunggu dari jam  sekitar jam  kami baru naik bus Terima kasih untuk bapak yang jualan di halte bus alun yang sudah memberi info  membantu kami mencegat bus nya Semoga Allah melancarkan rezeki bpkAamiin YRA ,tempat kami menunggu bus tuyul ke arah dieng nunggu dari jam  sekitar jam  kami baru naik bus terima kasih untuk bapak yang jualan di halte bus alun yang sudah memberi info  membantu kami mencegat bus nya semoga allah melancarkan rezeki bpkaamiin yra ,tempat kami menunggu bus tuyul ke arah dieng menunggu dari jam sekitar jam kami baru naik bus terima kasih untuk bapak yang jualan di halte bus alun yang sudah memberi info membantu kami mencegat bus ya semoga allah melancarkan rezeki bpkaamiin yra,"['tempat', 'kami', 'menunggu', 'bus', 'tuyul', 'ke', 'arah', 'dieng', 'menunggu', 'dari', 'jam', 'sekitar', 'jam', 'kami', 'baru', 'naik', 'bus', 'terima', 'kasih', 'untuk', 'bapak', 'yang', 'jualan', 'di', 'halte', 'bus', 'alun', 'yang', 'sudah', 'memberi', 'info', 'membantu', 'kami', 'mencegat', 'bus', 'ya', 'semoga', 'allah', 'melancarkan', 'rezeki', 'bpkaamiin', 'yra']","['menunggu', 'bus', 'tuyul', 'arah', 'dieng', 'menunggu', 'jam', 'jam', 'bus', 'terima', 'kasih', 'jualan', 'halte', 'bus', 'alun', 'info', 'membantu', 'mencegat', 'bus', 'ya', 'semoga', 'allah', 'melancarkan', 'rezeki', 'bpkaamiin', 'yra']",tunggu bus tuyul arah dieng tunggu jam jam bus terima kasih jual halte bus alun info bantu cegat bus ya moga allah lancar rezeki bpkaamiin yra
setahun lalu,Cocok untuk momong kesayangan,Cocok untuk momong kesayangan,cocok untuk momong kesayangan,cocok untuk mengasuh kesayangan,"['cocok', 'untuk', 'mengasuh', 'kesayangan']","['cocok', 'mengasuh', 'kesayangan']",cocok asuh sayang
setahun lalu,"Nyaman untuk track sekedar jalan kaki atau lari-lari kecil, luas bisa juga piknik kecil bareng teman atau keluarga. Apalagi kalau pagi, udaranya seger pol. Tempat parkirnya free sebelah utara depan pendopo pas",Nyaman untuk track sekedar jalan kaki atau larilari kecil luas bisa juga piknik kecil bareng teman atau keluarga Apalagi kalau pagi udaranya seger pol Tempat parkirnya free sebelah utara depan pendopo pas,nyaman untuk track sekedar jalan kaki atau larilari kecil luas bisa juga piknik kecil bareng teman atau keluarga apalagi kalau pagi udaranya seger pol tempat parkirnya free sebelah utara depan pendopo pas,nyaman untuk track sekedar jalan kaki atau larilari kecil luas bisa juga piknik kecil bareng teman atau keluarga apalagi kalau pagi udaranya segar pol tempat parkirnya free sebelah utara depan pendopo pas,"['nyaman', 'untuk', 'track', 'sekedar', 'jalan', 'kaki', 'atau', 'larilari', 'kecil', 'luas', 'bisa', 'juga', 'piknik', 'kecil', 'bareng', 'teman', 'atau', 'keluarga', 'apalagi', 'kalau', 'pagi', 'udaranya', 'segar', 'pol', 'tempat', 'parkirnya', 'free', 'sebelah', 'utara', 'depan', 'pendopo', 'pas']","['nyaman', 'track', 'sekedar', 'jalan', 'kaki', 'larilari', 'luas', 'piknik', 'bareng', 'teman', 'keluarga', 'pagi', 'udaranya', 'segar', 'pol', 'parkirnya', 'free', 'sebelah', 'utara', 'pendopo', 'pas']",nyaman track dar jalan kaki larilari luas piknik bareng teman keluarga pagi udara segar pol parkir free belah utara pendopo pas
setahun lalu,"Setelah bayaran buruh ngarit, jalan jalan ke alun alun Wonosobo bersama Anak Istri,",Setelah bayaran buruh ngarit jalan jalan ke alun alun Wonosobo bersama Anak Istri,setelah bayaran buruh ngarit jalan jalan ke alun alun wonosobo bersama anak istri,setelah bayaran buruh ngarit jalan jalan ke alun alun wonosobo bersama anak istri,"['setelah', 'bayaran', 'buruh', 'ngarit', 'jalan', 'jalan', 'ke', 'alun', 'alun', 'wonosobo', 'bersama', 'anak', 'istri']","['bayaran', 'buruh', 'ngarit', 'jalan', 'jalan', 'alun', 'alun', 'wonosobo', 'anak', 'istri']",bayar buruh ngarit jalan jalan alun alun wonosobo anak istri
setahun lalu,"Alun alun Wonosobo Kesini hari Sabtu kemaren Sore hari banyak yang jogging , ada yang sekedar mengisi waktu weekend , banyak yang",Alun alun Wonosobo Kesini hari Sabtu kemaren Sore hari banyak yang jogging  ada yang sekedar mengisi waktu weekend  banyak yang,alun alun wonosobo kesini hari sabtu kemaren sore hari banyak yang jogging  ada yang sekedar mengisi waktu weekend  banyak yang,alun alun wonosobo kesini hari sabtu kemarin sore hari banyak yang jogging ada yang sekedar mengisi waktu weekend banyak yang,"['alun', 'alun', 'wonosobo', 'kesini', 'hari', 'sabtu', 'kemarin', 'sore', 'hari', 'banyak', 'yang', 'jogging', 'ada', 'yang', 'sekedar', 'mengisi', 'waktu', 'weekend', 'banyak', 'yang']","['alun', 'alun', 'wonosobo', 'kesini', 'sabtu', 'kemarin', 'sore', 'jogging', 'sekedar', 'mengisi', 'weekend']",alun alun wonosobo kesini sabtu kemarin sore jogging dar isi weekend
setahun lalu,"Alun-alunnya cukup luas, banyak pohon besar dan rindang. Di pinggir alun-alun sekelilingnya banyak tukang jajanan, mulai dari makanan ringan ke berat, serta penjual es dan minuman. Spot yang cocok bagi yang mau jalan-jalan sore sambil cari jajanan, atau bawa gebetan sambil ngobrol-ngobrol lucu, hahaha.",Alunalunnya cukup luas banyak pohon besar dan rindang Di pinggir alunalun sekelilingnya banyak tukang jajanan mulai dari makanan ringan ke berat serta penjual es dan minuman Spot yang cocok bagi yang mau jalanjalan sore sambil cari jajanan atau bawa gebetan sambil ngobrolngobrol lucu hahaha,alunalunnya cukup luas banyak pohon besar dan rindang di pinggir alunalun sekelilingnya banyak tukang jajanan mulai dari makanan ringan ke berat serta penjual es dan minuman spot yang cocok bagi yang mau jalanjalan sore sambil cari jajanan atau bawa gebetan sambil ngobrolngobrol lucu hahaha,alunalunnya cukup luas banyak pohon besar dan rindang di pinggir sekelilingnya banyak tukang jajanan mulai dari makanan ringan ke berat serta penjual es dan minuman spot yang cocok bagi yang mau berjalan sore sambil cari jajanan atau bawa gebetan sambil ngobrolngobrol lucu hahaha,"['alunalunnya', 'cukup', 'luas', 'banyak', 'pohon', 'besar', 'dan', 'rindang', 'di', 'pinggir', 'sekelilingnya', 'banyak', 'tukang', 'jajanan', 'mulai', 'dari', 'makanan', 'ringan', 'ke', 'berat', 'serta', 'penjual', 'es', 'dan', 'minuman', 'spot', 'yang', 'cocok', 'bagi', 'yang', 'mau', 'berjalan', 'sore', 'sambil', 'cari', 'jajanan', 'atau', 'bawa', 'gebetan', 'sambil', 'ngobrolngobrol', 'lucu', 'hahaha']","['alunalunnya', 'luas', 'pohon', 'rindang', 'pinggir', 'sekelilingnya', 'tukang', 'jajanan', 'makanan', 'ringan', 'berat', 'penjual', 'es', 'minuman', 'spot', 'cocok', 'berjalan', 'sore', 'cari', 'jajanan', 'bawa', 'gebetan', 'ngobrolngobrol', 'lucu', 'hahaha']",alunalunnya luas pohon rindang pinggir keliling tukang jajan makan ringan berat jual es minum spot cocok jalan sore cari jajan bawa gebetan ngobrolngobrol lucu hahaha
setahun lalu,Lokasi tempelsari kertek,Lokasi tempelsari kertek,lokasi tempelsari kertek,lokasi tempelsari kertek,"['lokasi', 'tempelsari', 'kertek']","['lokasi', 'tempelsari', 'kertek']",lokasi tempelsari kertek
setahun lalu,Alun alun terindah se Republik Indonedia,Alun alun terindah se Republik Indonedia,alun alun terindah se republik indonedia,alun alun terindah se republik indonedia,"['alun', 'alun', 'terindah', 'se', 'republik', 'indonedia']","['alun', 'alun', 'terindah', 'republik', 'indonedia']",alun alun indah republik indonedia
setahun lalu,"Ok.banget.. bersih dan asik untuk jogging,dan olahraga lainnya : bola, karate, basket,Satria Nusantara. bebas dari sampah.",Okbanget bersih dan asik untuk joggingdan olahraga lainnya  bola karate basketSatria Nusantara bebas dari sampah,okbanget bersih dan asik untuk joggingdan olahraga lainnya  bola karate basketsatria nusantara bebas dari sampah,okbanget bersih dan asik untuk joggingdan olahraga lainnya bola karate basketsatria nusantara bebas dari sampah,"['okbanget', 'bersih', 'dan', 'asik', 'untuk', 'joggingdan', 'olahraga', 'lainnya', 'bola', 'karate', 'basketsatria', 'nusantara', 'bebas', 'dari', 'sampah']","['okbanget', 'bersih', 'asik', 'joggingdan', 'olahraga', 'bola', 'karate', 'basketsatria', 'nusantara', 'bebas', 'sampah']",okbanget bersih asik joggingdan olahraga bola karate basketsatria nusantara bebas sampah
setahun lalu,"Seru banget buat santai. Terutama buat kumpul bersama keluarga. Ada odong-odong, kuda-kudaan, mobil-mobilan, dan motor listrik buat ngemong anak. Banyak jajan dan suasananya nyaman buat slow down dari rutinitas~",Seru banget buat santai Terutama buat kumpul bersama keluarga Ada odongodong kudakudaan mobilmobilan dan motor listrik buat ngemong anak Banyak jajan dan suasananya nyaman buat slow down dari rutinitas,seru banget buat santai terutama buat kumpul bersama keluarga ada odongodong kudakudaan mobilmobilan dan motor listrik buat ngemong anak banyak jajan dan suasananya nyaman buat slow down dari rutinitas,seru banget buat santai terutama buat kumpul bersama keluarga ada odongodong kudakudaan mobilmobilan dan motor listrik buat ngemong anak banyak jajan dan suasananya nyaman buat slow down dari rutinitas,"['seru', 'banget', 'buat', 'santai', 'terutama', 'buat', 'kumpul', 'bersama', 'keluarga', 'ada', 'odongodong', 'kudakudaan', 'mobilmobilan', 'dan', 'motor', 'listrik', 'buat', 'ngemong', 'anak', 'banyak', 'jajan', 'dan', 'suasananya', 'nyaman', 'buat', 'slow', 'down', 'dari', 'rutinitas']","['seru', 'banget', 'santai', 'kumpul', 'keluarga', 'odongodong', 'kudakudaan', 'mobilmobilan', 'motor', 'listrik', 'ngemong', 'anak', 'jajan', 'suasananya', 'nyaman', 'slow', 'down', 'rutinitas']",seru banget santai kumpul keluarga odongodong kudakudaan mobilmobilan motor listrik ngemong anak jajan suasana nyaman slow down rutinitas
setahun lalu,yang mau sarapan,yang mau sarapan,yang mau sarapan,yang mau sarapan,"['yang', 'mau', 'sarapan']",['sarapan'],sarap
setahun lalu,ASRI tenan,ASRI tenan,asri tenan,asri tenan,"['asri', 'tenan']","['asri', 'tenan']",asri tenan
setahun lalu,Banyak yang olahraga. Seger,Banyak yang olahraga Seger,banyak yang olahraga seger,banyak yang olahraga segar,"['banyak', 'yang', 'olahraga', 'segar']","['olahraga', 'segar']",olahraga segar
setahun lalu,alun alun Wonosobo,alun alun Wonosobo,alun alun wonosobo,alun alun wonosobo,"['alun', 'alun', 'wonosobo']","['alun', 'alun', 'wonosobo']",alun alun wonosobo
setahun lalu,Rapi bersih,Rapi bersih,rapi bersih,rapi bersih,"['rapi', 'bersih']","['rapi', 'bersih']",rapi bersih
setahun lalu,Kotanya enak sejuk..sangat nyaman,Kotanya enak sejuksangat nyaman,kotanya enak sejuksangat nyaman,kotanya enak sejuksangat nyaman,"['kotanya', 'enak', 'sejuksangat', 'nyaman']","['kotanya', 'enak', 'sejuksangat', 'nyaman']",kota enak sejuksangat nyaman
setahun lalu,"April 2024
Free","April 
Free","april 
free",april free,"['april', 'free']","['april', 'free']",april free
setahun lalu,Banyak perkembangan,Banyak perkembangan,banyak perkembangan,banyak perkembangan,"['banyak', 'perkembangan']",['perkembangan'],kembang
setahun lalu,Pelayanan Posyandu untuk Balita,Pelayanan Posyandu untuk Balita,pelayanan posyandu untuk balita,pelayanan posyandu untuk balita,"['pelayanan', 'posyandu', 'untuk', 'balita']","['pelayanan', 'posyandu', 'balita']",layan posyandu balita
setahun lalu,tidak seperti alun alun temanggung yang seperti kuburan,tidak seperti alun alun temanggung yang seperti kuburan,tidak seperti alun alun temanggung yang seperti kuburan,tidak seperti alun alun temanggung yang seperti kuburan,"['tidak', 'seperti', 'alun', 'alun', 'temanggung', 'yang', 'seperti', 'kuburan']","['alun', 'alun', 'temanggung', 'kuburan']",alun alun tanggung kubur
setahun lalu,Mohon pengelola bisa menambah atau memperbanyak tempat sampah dan pembuatan jalur antara wahana bermain dengan pejalan kaki,Mohon pengelola bisa menambah atau memperbanyak tempat sampah dan pembuatan jalur antara wahana bermain dengan pejalan kaki,mohon pengelola bisa menambah atau memperbanyak tempat sampah dan pembuatan jalur antara wahana bermain dengan pejalan kaki,mohon pengelola bisa menambah atau memperbanyak tempat sampah dan pembuatan jalur antara wahana bermain dengan pejalan kaki,"['mohon', 'pengelola', 'bisa', 'menambah', 'atau', 'memperbanyak', 'tempat', 'sampah', 'dan', 'pembuatan', 'jalur', 'antara', 'wahana', 'bermain', 'dengan', 'pejalan', 'kaki']","['mohon', 'pengelola', 'menambah', 'memperbanyak', 'sampah', 'pembuatan', 'jalur', 'wahana', 'bermain', 'pejalan', 'kaki']",mohon kelola tambah banyak sampah buat jalur wahana main pejal kaki
